Setup,Activation,LearningRate,Epochs,SNR(dB),SpectralEfficiency
0db,sigmoid,1e-05,500,0,3.401893377304077
0db,sigmoid,1e-05,500,5,4.8025641441345215
0db,sigmoid,1e-05,500,10,6.333141803741455
0db,sigmoid,1e-05,500,15,7.933980464935303
0db,sigmoid,1e-05,500,20,9.569353103637695
0db,sigmoid,1e-05,1000,-20,0.2889520823955536
0db,sigmoid,1e-05,1000,-15,0.6867091655731201
0db,sigmoid,1e-05,1000,-10,1.3596214056015015
0db,sigmoid,1e-05,1000,-5,2.31411075592041
0db,sigmoid,1e-05,1000,0,3.5287227630615234
0db,sigmoid,1e-05,1000,5,4.9454803466796875
0db,sigmoid,1e-05,1000,10,6.487239360809326
0db,sigmoid,1e-05,1000,15,8.093670845031738
0db,sigmoid,1e-05,1000,20,9.730921745300293
